Action_Category,Specific_Action,Active_Substance_Code,Active_Substance_Name,Chemical_Class,Mode_of_Action,Application_Method_Dosage,Expected_Result,Efficacy_Level,Target_Crops
FOLIAR_APPLICATION,Postharvest control,Thiabendazole,Thiabendazole,Benzimidazole fungicide,,Apply 500-1000 ppm dip,Postharvest disease suppression,HIGH,Fruit crops
FOLIAR_APPLICATION,Systemic activity,Thiophanate-methyl,Thiophanate-methyl,Benzimidazole fungicide,,Apply 250-500 g/ha foliar spray,Broad-spectrum disease control,HIGH,All crops
FOLIAR_APPLICATION,Spore germination inhibition,Fuberidazole,Fuberidazole,Benzimidazole fungicide,,Apply 200-400 g/ha foliar spray,Enhanced disease resistance,LOW,Research use
FOLIAR_APPLICATION,Multi-site action,Fludioxonil,Fludioxonil,Phenylpyrrole fungicide,,Apply 100-200 g/ha foliar spray,Disease control + stress tolerance,MEDIUM,"Seeds, turf"
FOLIAR_APPLICATION,Methionine biosynthesis inhibitor,Cyprodinil,Cyprodinil,Anilinopyrimidine fungicide,,Apply 200-300 g/ha foliar spray,Disease control + PGR effect,MEDIUM,Fruit trees
FOLIAR_APPLICATION,Methionine inhibitor,Pyrimethanil,Pyrimethanil,Anilinopyrimidine fungicide,,Apply 150-250 g/ha foliar spray,Disease control + improved fruit quality,MEDIUM,Fruit crops
FOLIAR_APPLICATION,Surface protectant,Chlorothalonil,Chlorothalonil,Multi-site fungicide,,Apply 1-2 kg/ha foliar spray,Disease control + minor PGR effect,LOW,All crops
FOLIAR_APPLICATION,Broad-spectrum protection,Copper fungicides,Copper-based fungicides,Multi-site fungicide,,Apply 1-3 kg/ha foliar spray,Disease control + minimal PGR,LOW,Organic systems
SEED_TREATMENT,,Sodium ortho-nitrophenolate,Sodium ortho-nitrophenolate,Nitrophenolate,Auxin-like biostimulant,Apply 50-200 ppm seed soak,Stimulated root growth and stress tolerance,MEDIUM,All crop seeds
SEED_TREATMENT,,Sodium para-nitrophenolate,Sodium para-nitrophenolate,Nitrophenolate,Auxin-like biostimulant,Apply 50-200 ppm seed soak,Enhanced callus formation,MEDIUM,Tissue culture
SEED_TREATMENT,,Sodium 2-nitrophenolate,Sodium 2-nitrophenolate,Nitrophenolate,Growth stimulant,Apply 50-200 ppm seed soak,Improved seedling vigor,MEDIUM,All crops
SEED_TREATMENT,,Sodium 4-nitrophenolate,Sodium 4-nitrophenolate,Nitrophenolate,Stress resistance enhancer,Apply 50-200 ppm seed treatment,Enhanced drought tolerance,MEDIUM,Stress-prone crops
FOLIAR_APPLICATION,,"2,4,5-T","2,4,5-Trichlorophenoxyacetic acid",Synthetic auxin,Growth regulator,Apply 10-50 ppm foliar spray,Enhanced vegetative growth,LOW,Research use
FOLIAR_APPLICATION,,Dicamba,Dicamba,Synthetic auxin,Growth regulator,Apply 5-20 ppm foliar spray,Modified branching patterns,LOW,Research applications
FOLIAR_APPLICATION,,Picloram,Picloram,Synthetic auxin,Growth regulator,Apply 5-20 ppm foliar spray,Stimulated root initiation,LOW,Research use
FOLIAR_APPLICATION,,Triclopyr,Triclopyr,Synthetic auxin,Growth regulator,Apply 5-20 ppm foliar spray,Enhanced cell elongation,LOW,Research use
FOLIAR_APPLICATION,,MCPA,MCPA,Synthetic auxin,Weed control at high dose,Apply per label for weed management,Selective broadleaf control,HIGH,Weed management
FOLIAR_APPLICATION,,MCPB,MCPB,Synthetic auxin,Growth regulator,Apply per label for crop regulation,Fruit thinning effect,MEDIUM,Fruit crops
FRUIT_MANAGEMENT,Fruit retention,"2,4-D","2,4-Dichlorophenoxyacetic acid",Synthetic auxin,Auxin herbicide,Apply 10-30 ppm,"Reduced pre-harvest fruit drop, increased fruit retention and yield — Synthetic auxin — 10 ppm has given the best pre harvest fruit drop control in 'Hamlin' orange. and maximum number of fruit per tree, fruit retention per cent and yield per plant and per hectare was recorded with the spray of 30 ppm",MEDIUM,"Citrus, fruit crops"
FOLIAR_APPLICATION,,Meta-topolin,Meta-topolin,Synthetic cytokinin,Cell division promotion,Apply 10-50 ppm foliar spray,Enhanced shoot proliferation,MEDIUM,Tissue culture
FOLIAR_APPLICATION,,DCPTA,DCPTA,Synthetic tertiary amine,Photosynthesis enhancer,Apply 10-100 ppm foliar spray,Improved chlorophyll synthesis,MEDIUM,All crops
GROWTH_REGULATION,,Uniconazole,Uniconazole,GA inhibitor,Dwarfing agent,Apply 5-20 ppm foliar spray,"Reduced plant height, improved stress tolerance",HIGH,"Horticulture, turf"
GROWTH_REGULATION,,P-Ca ProCa,Prohexadione-calcium,GA inhibitor,Vegetative growth control,applied 5 weeks after planting at 125mg/L — Single early application at 62.5 and 150 mg·L⁻¹ Followed by a repeat dose 25 days later — 200 mg/L foliar spray,"Since GA promotes runner formation (vegetative growth), inhibiting it shifts the strawberry's energy toward crown branching and flowering",MEDIUM,"Fruit trees, cereals"
GROWTH_REGULATION,,B9,Daminozide,Growth inhibitor,Fruit size regulation,Apply 200-500 ppm foliar spray,"Controlled fruit growth, delayed senescence",LOW,"Ornamentals, apples"
GROWTH_REGULATION,,PIX,Mepiquat chloride,GA inhibitor,Vegetative growth restriction,Apply 30-120 ppm foliar spray,"Reduced shoot growth, stronger stems",HIGH,Cotton
GROWTH_REGULATION,,Cyclanilide,Cyclanilide,Defoliant/regulator,Abscission induction,Apply 100-300 ppm foliar spray,"Induced leaf drop, harvest aid",MEDIUM,Cotton
GROWTH_REGULATION,,Flurprimidol,Flurprimidol,GA inhibitor,Lodging prevention,Apply 5-15 ppm foliar spray,"Reduced lodging, improved standability",MEDIUM,"Cereals, ornamentals"
GROWTH_REGULATION,,Ethychlozate,Ethylchlozate (Figaron),Ethylene releaser,Ripening induction,Apply 100-300 ppm foliar spray,Uniform ripening and abscission,MEDIUM,Fruit crops
GROWTH_REGULATION,,Aviglycine,Aviglycine,Ethylene inhibitor,Flower preservation,Apply 50-200 ppm foliar spray,Delayed flower senescence,LOW,Cut flowers
GROWTH_REGULATION,,STS,Silver thiosulfate,Ethylene inhibitor,Ethylene action blocking,Apply 50-100 ppm foliar spray,Extended vase life and flower preservation,HIGH,Cut flowers
FOLIAR_APPLICATION,,Lactic acid,Lactic acid,Organic Acid,Metabolic intermediate,Apply 200-1000 ppm foliar spray,Enhanced respiratory metabolism,MEDIUM,All crops during fruit development
FOLIAR_APPLICATION,,Fumaric acid,Fumaric acid,Organic Acid,TCA cycle enhancer,Apply 100-500 ppm foliar spray,Improved energy metabolism,LOW,Research use
FOLIAR_APPLICATION,,Oxalic acid,Oxalic acid,Organic Acid,Carbon source for microorganisms,Apply 100-500 ppm foliar spray,Enhanced microbial activity on phylloplane,LOW,Experimental
SOIL_APPLICATION,,Arachidonic acid,Arachidonic acid,Organic Acid,Defense elicitor,Apply 50-200 ppm soil drench,Induced defense priming,LOW,Priming agents
FOLIAR_APPLICATION,,Caffeic acid,Caffeic acid,Phenolic,Cell wall strengthening,Apply 100-500 ppm foliar spray,Improved disease resistance,MEDIUM,All crops
FOLIAR_APPLICATION,,Ferulic acid,Ferulic acid,Phenolic,Antioxidant activity,Apply 100-500 ppm foliar spray,Enhanced stress tolerance,MEDIUM,All crops
FOLIAR_APPLICATION,,p-Coumaric acid,p-Coumaric acid,Phenolic,Phenylpropanoid pathway,Apply 100-500 ppm foliar spray,Improved lignin synthesis,LOW,All crops
FOLIAR_APPLICATION,,Sinapic acid,Sinapic acid,Phenolic,Antioxidant enzyme activation,Apply 100-500 ppm foliar spray,Enhanced antioxidant enzyme levels,LOW,Research use
FOLIAR_APPLICATION,,Chlorogenic acid,Chlorogenic acid,Phenolic,Antioxidant and defense,Apply 100-500 ppm foliar spray,Enhanced pathogen resistance,MEDIUM,All crops
FOLIAR_APPLICATION,,Rosmarinic acid,Rosmarinic acid,Phenolic,Antimicrobial activity,Apply 50-200 ppm foliar spray,Reduced foliar pathogen infection,LOW,All crops
FOLIAR_APPLICATION,,Vanillic acid,Vanillic acid,Phenolic,Stress signaling,Apply 50-200 ppm foliar spray,Primed stress responses,LOW,Experimental
FOLIAR_APPLICATION,,Gallic acid,Gallic acid,Phenolic,Antioxidant,Apply 50-200 ppm foliar spray,Enhanced ROS scavenging,MEDIUM,All crops under stress
FOLIAR_APPLICATION,,Protocatechuic acid,Protocatechuic acid,Phenolic,Antioxidant,Apply 50-200 ppm foliar spray,Improved oxidative stress tolerance,LOW,Research use
FOLIAR_APPLICATION,,Syringic acid,Syringic acid,Phenolic,Antimicrobial,Apply 50-200 ppm foliar spray,Enhanced disease suppression,LOW,All crops
FOLIAR_APPLICATION,,Alanine,Alanine,Amino Acid,Metabolic precursor,Apply 100-500 ppm foliar spray,Enhanced carbon and nitrogen metabolism,MEDIUM,All crops
FOLIAR_APPLICATION,,Arginine,Arginine,Amino Acid,Polyamine precursor,Apply 100-500 ppm foliar spray,Improved stress tolerance via polyamines,MEDIUM,Stress-prone crops
FOLIAR_APPLICATION,,Asparagine,Asparagine,Amino Acid,Nitrogen transport,Apply 100-500 ppm foliar spray,Enhanced N transport and storage,MEDIUM,"Legumes, cereals"
FOLIAR_APPLICATION,,Glutamine,Glutamine,Amino Acid,Nitrogen metabolism,Apply 100-500 ppm foliar spray,Improved N assimilation,MEDIUM,All crops
FOLIAR_APPLICATION,,Histidine,Histidine,Amino Acid,Chelation,Apply 100-500 ppm foliar spray,Improved micronutrient uptake,LOW,All crops
FOLIAR_APPLICATION,,Isoleucine,Isoleucine,Amino Acid,Protein synthesis,Apply 100-500 ppm foliar spray,Enhanced vegetative growth,LOW,Vegetables
FOLIAR_APPLICATION,,Leucine,Leucine,Amino Acid,Protein synthesis,Apply 100-500 ppm foliar spray,Improved growth and quality,LOW,All crops
FOLIAR_APPLICATION,,Lysine,Lysine,Amino Acid,Secondary metabolism precursor,Apply 100-500 ppm foliar spray,Enhanced secondary metabolite production,LOW,Medicinal crops
FOLIAR_APPLICATION,,Methionine,Methionine,Amino Acid,Ethylene precursor,Apply 100-500 ppm foliar spray,Enhanced stress regulation,MEDIUM,Fruit crops
FOLIAR_APPLICATION,,Phenylalanine,Phenylalanine,Amino Acid,Phenylpropanoid pathway,Apply 100-500 ppm foliar spray,Improved defense and lignin formation,MEDIUM,All crops
FOLIAR_APPLICATION,,Serine,Serine,Amino Acid,Metabolism & stress response,Apply 100-500 ppm foliar spray,Enhanced stress resilience,LOW,Research use
FOLIAR_APPLICATION,,Threonine,Threonine,Amino Acid,Protein synthesis,Apply 100-500 ppm foliar spray,Improved growth,LOW,All crops
FOLIAR_APPLICATION,,Tyrosine,Tyrosine,Amino Acid,Secondary metabolism precursor,Apply 100-500 ppm foliar spray,Enhanced antioxidant production,LOW,All crops
FOLIAR_APPLICATION,,Valine,Valine,Amino Acid,Protein synthesis,Apply 100-500 ppm foliar spray,Enhanced vegetative growth,LOW,All crops
FOLIAR_APPLICATION,,L-carnitine,L-carnitine,Related,Energy metabolism,Apply 100-500 ppm foliar spray,Enhanced energy use efficiency,LOW,Research use
FOLIAR_APPLICATION,,Citrulline,Citrulline,Related,Osmoprotection,Apply 100-500 ppm foliar spray,Improved osmotic stress tolerance,LOW,All crops
FOLIAR_APPLICATION,,Niacin,Niacin (B3),Vitamin,Metabolic activator,Apply 50-200 ppm foliar spray,Enhanced metabolic activity and stress resilience,MEDIUM,All crops
FOLIAR_APPLICATION,,Pantothenic acid,Pantothenic Acid (B5),Vitamin,CoA precursor,Apply 50-150 ppm foliar spray,Improved fatty acid metabolism and growth,LOW,Experimental use
FOLIAR_APPLICATION,,Biotin,Biotin (B7),Vitamin,Carboxylation cofactor,Apply 25-100 ppm foliar spray,Enhanced enzyme function and growth,LOW,Research applications
FOLIAR_APPLICATION,,Folic acid,Folic Acid (B9),Vitamin,Nucleic acid metabolism,Apply 25-100 ppm foliar spray,Improved cell division and development,MEDIUM,Vegetable and high-value crops
FOLIAR_APPLICATION,,Cyanocobalamin,Cyanocobalamin (B12),Vitamin,Metabolism cofactor,Apply 10-50 ppm foliar spray,Enhanced energy metabolism,LOW,Specialty applications
FOLIAR_APPLICATION,,Retinol,Retinol (A),Vitamin,Antioxidant regulator,Apply 10-50 ppm foliar spray,Improved antioxidant capacity,LOW,Research use
FOLIAR_APPLICATION,,Cholecalciferol,Cholecalciferol (D3),Vitamin,Calcium signaling,Apply 5-20 ppm foliar spray,Enhanced calcium utilization,LOW,Specialty crops
FOLIAR_APPLICATION,,Phylloquinone,Phylloquinone (K1),Vitamin,Electron transport,Apply 5-20 ppm foliar spray,Improved photosynthetic electron flow,LOW,Research applications
FOLIAR_APPLICATION,,Rutin,Rutin,Vitamin-like,Antioxidant flavonoid,Apply 50-200 ppm foliar spray,Enhanced stress tolerance,MEDIUM,All crops
FOLIAR_APPLICATION,,PABA,Para-aminobenzoic acid (PABA),Vitamin-like,Folate precursor,Apply 50-200 ppm foliar spray,Improved folate metabolism,LOW,Experimental
FOLIAR_APPLICATION,,Orotic acid,Orotic acid,Vitamin-like,Nucleic acid precursor,Apply 25-100 ppm foliar spray,Enhanced nucleic acid synthesis,LOW,Research use
FOLIAR_APPLICATION,,Taurine,Taurine,Vitamin-like,Osmoprotectant,Apply 50-200 ppm foliar spray,Enhanced osmotic stress tolerance,LOW,Research use
FOLIAR_APPLICATION,,Alpha-lipoic acid,Alpha-Lipoic Acid,Vitamin-like,Antioxidant,Apply 25-100 ppm foliar spray,Enhanced redox balance,MEDIUM,All crops under stress
FOLIAR_APPLICATION,,PQQ,PQQ (Pyrroloquinoline quinone),Vitamin-like,Redox cofactor,Apply 10-50 ppm foliar spray,Improved growth stimulation,LOW,Experimental
SEED_TREATMENT,Stress reducer & rooting enhancer,NATCA,N-Acetyl-thiazolidine-4-carboxylic Acid,Biostimulant,Stress tolerance & rooting enhancement,Apply 100-300 ppm seed soak for 4-6 hours,Improved root development and stress tolerance,MEDIUM,"Seedlings, transplants"
FOLIAR_APPLICATION,Metabolite precursor stimulator,Dimethylethanolamine,Dimethylethanolamine,Biostimulant,Growth stimulant,Apply 25-100 ppm foliar spray,Enhanced growth rate and biomass,LOW,Experimental use
SEED_TREATMENT,Stress reducer & osmoprotection,Choline chloride,Choline chloride,Biostimulant,Osmoprotectant,Apply 50-200 ppm seed priming,Improved germination under stress,MEDIUM,All crop seeds
FOLIAR_APPLICATION,Nutrient uptake enhancer,Chitooligosaccharides,Chitooligosaccharides,Biostimulant,Elicitor,Apply 50-200 ppm foliar spray,Enhanced nutrient absorption and disease resistance,MEDIUM,All crops
SOIL_APPLICATION,Soil microbial enhancer,N-acetylglucosamine,N-acetylglucosamine,Biostimulant,Microbial activity enhancer,Apply 1-5 kg/ha soil incorporation,Increased beneficial microbial populations,MEDIUM,Organic farming systems
FOLIAR_APPLICATION,Stress tolerance & growth stimulation,Chitosan nanoparticles,Chitosan nanoparticles,Biostimulant,Elicitor,Apply 50-200 ppm foliar spray,Enhanced stress tolerance and growth,LOW,Research applications
FOLIAR_APPLICATION,Cytokinin-like activity,Ecklonia maxima,Ecklonia maxima extract,Biostimulant,Growth promoter,Apply 2-5 L/ha foliar spray,Enhanced shoot growth and stress tolerance,MEDIUM,All crops
FOLIAR_APPLICATION,Marine biostimulant,Sargassum extracts,Sargassum extract,Biostimulant,Nutrient chelation & hormesis,Apply 2-5 L/ha foliar spray,Improved nutrient uptake and yield,MEDIUM,All crops
FOLIAR_APPLICATION,Polysaccharide elicitor,Sodium Alginate,Alginate oligosaccharide,Biostimulant,Defense elicitor,fruit sprayed 0.5% w/v,"Enhanced disease resistance, fruit firmness with melatonin",MEDIUM,High-value crops
SOIL_APPLICATION,Foliar & soil conditioner,Chelated titanium,Chelated titanium,Biostimulant,Photosynthesis stimulator,Apply 0.5-2 kg/ha with fertilizer,Enhanced chlorophyll content and photosynthesis,LOW,Research use
SOIL_APPLICATION,Fertilizer efficiency enhancer,Polyglutamic acid,Polyglutamic acid (³-PGA),Biostimulant,Nutrient chelator,Apply 1-5 L/ha with fertilizer,Improved fertilizer uptake efficiency,HIGH,All crops
FOLIAR_APPLICATION,,Hydroxycinnamic Acids,Hydroxycinnamic Acids,Phenolic,Phenylpropanoid precursor,Apply 50–200 ppm foliar spray,Enhanced phenylpropanoid metabolism and stress tolerance,MEDIUM,All crops
FOLIAR_APPLICATION,Root initiation and tropism,PAA,Phenylacetic acid,Auxin-like,,Apply 50–200 ppm foliar spray,Stimulated root formation and shoot growth,LOW,Research
FOLIAR_APPLICATION,,Chromosaponin I,Chromosaponin I,Saponin,Root growth stimulation,Apply 0.1-0.2% soil drench,Increased root hair density and nutrient uptake,MEDIUM,"Lettuce, Arabidopsis"
FOLIAR_APPLICATION,,Diosgenin,Diosgenin,Saponin,Membrane permeability enhancement,Apply 100-500 ppm foliar spray,"Improved N,P,K uptake",MEDIUM,"Sweet potato, cereals"
FOLIAR_APPLICATION,,Willow bark,Willow extract,Phenolic,SA precursor,Apply 100-300 ppm foliar spray,Enhanced systemic resistance,MEDIUM,All crops
FOLIAR_APPLICATION,,Green tea,Green tea extract,Polyphenol,Antioxidant elicitor,Apply 100-500 ppm foliar spray,Increased antioxidant enzyme activity,MEDIUM,Leafy vegetables
FOLIAR_APPLICATION,,Echinacea,Purple coneflower extract,Polyphenol,Antioxidant defense & elicitor,Apply 100-500 ppm foliar spray,Enhanced stress tolerance and defense,MEDIUM,"Tomato, lettuce"
FOLIAR_APPLICATION,,Bamboo leaf,Bamboo extract,Polysaccharide,Elicit immune response,Apply 50-200 ppm foliar spray,Increased NO production and defense,MEDIUM,All crops
FOLIAR_APPLICATION,,Artichoke leaf,Artichoke extract,Polyphenol,Antioxidant and anti-aging,Apply 100-300 ppm foliar spray,Improved stress tolerance,MEDIUM,All crops
FOLIAR_APPLICATION,,Dandelion,Dandelion extract,Phenolic,Allelopathic regulator,Apply 100-500 ppm foliar spray,Selective germination inhibition of weeds,LOW,Weed control
FOLIAR_APPLICATION,,Plantain leaf,Plantain extract,Phenolic,Immune elicitor,Apply 100-500 ppm foliar spray,Enhanced NO and defense gene expression,MEDIUM,All crops
FOLIAR_APPLICATION,,Sucrose,Sucrose,Disaccharide,Metabolic & signaling,Apply 10-50% foliar spray,"Enhanced germination, stress tolerance",MEDIUM,"Tomato, lettuce"
FOLIAR_APPLICATION,,Trehalose,Trehalose,Disaccharide,Osmoprotectant,Apply 50-200 ppm foliar spray,Improved salt and drought tolerance,MEDIUM,All crops
FOLIAR_APPLICATION,,Glucose,Glucose,Monosaccharide,Antioxidant induction,Apply 50-200 ppm foliar spray,Increased antioxidant enzyme activity,LOW,All crops
FOLIAR_APPLICATION,,Maltose,Maltose,Disaccharide,Osmoprotection for microbes,Apply 50-200 ppm soil drench,Enhanced rhizobial stress tolerance,LOW,Legumes
FOLIAR_APPLICATION,,Sodium Salicylate,Sodium salicylate,Phenolic,Defense activator & stress tolerance,Apply 0.5-2 mM foliar spray,Enhanced disease resistance and antioxidant enzyme activity,MEDIUM,"Tomato, cucumber"
FOLIAR_APPLICATION,,Carbonic acid,Carbonic acid (H2CO3),Organic Acid,Photosynthesis enhancer,Apply 0.5-1% CO2-enriched foliar spray,Increased net photosynthesis and water-use efficiency,MEDIUM,"Wheat, drought-stressed crops"
SOIL_APPLICATION,,Carbonic acid,Carbonic acid (H2CO3),Organic Acid,pH maintenance & carboxylation,Apply 1-2 g/L bicarbonate in irrigation,Improved CO2 assimilation and biomass in hydroponics,MEDIUM,"Lettuce, hydroponic systems"
SOIL_APPLICATION,,Artemisinin,Artemisinin,Sesquiterpene lactone,Nematicidal agent,Apply 0.1-1 g/kg soil amendment,Reduced root-knot nematode galling by up to 70%,MEDIUM,"Tomato, root-knot nematode-prone crops"
FOLIAR_APPLICATION,,Artemisinin,Artemisinin,Sesquiterpene lactone,Antioxidant elicitor,Apply 50-200 mg/L foliar spray,Increased SOD and POD activity under heat stress,MEDIUM,All crops
FOLIAR_APPLICATION,,Cobalt,Cobalt (CoO NPs),Beneficial element,Metabolic modulator,Apply 50 mg/L foliar spray,Increased shoot length and starch content,MEDIUM,"Maize, cereals"
SEED_TREATMENT,,Nickel,Nickel (NiCl2),Beneficial element,N metabolism enhancer,Soak seeds in 0.1 mg/L solution,Improved germination and seedling vigor,MEDIUM,All crops
FOLIAR_APPLICATION,,Vanadium,Vanadium (VOSO4),Beneficial element,Growth stimulant,Apply 10 µM foliar spray,Enhanced plant height and flower production,MEDIUM,"Tomato, pepper"
FOLIAR_APPLICATION,,Iodine,Iodine (KIO3),Beneficial element,Defense elicitor,Apply 50 µM foliar spray,Upregulated antioxidant enzymes and stress tolerance,MEDIUM,All crops
FOLIAR_APPLICATION,,Selenium,Selenium (Na2SeO3),Beneficial element,Antioxidant inducer,Apply 10 µM foliar spray,Increased SOD/POD activity and stress resilience,MEDIUM,"Wheat, rice"
SOIL_APPLICATION,,Molasses,Molasses,Carbohydrate source,Rhizosphere stimulant,Apply 10 L/ha of 5% solution,Boosted microbial biomass and nutrient mineralization,MEDIUM,"Vegetables, cereals"
FOLIAR_APPLICATION,,Yeast broth,Yeast culture broth,Organic extract,Growth promoter,Apply 2 g/L foliar spray,Enhanced chlorophyll content and fruit set,MEDIUM,Tomato
SOIL_APPLICATION,,Milk whey,Milk whey,Organic byproduct,Microbial enhancer,Apply 5% soil drench,Increased beneficial microbes and yield,MEDIUM,Strawberry
SEED_TREATMENT,,Decylglucoside,Decylglucoside,Surfactant,Seed germination enhancer,Soak seeds in 0.5% solution,Improved germination and root development,MEDIUM,All crops
FOLIAR_APPLICATION,,Lecithin,Lecithin,Phospholipid,Defense adjuvant,Apply 0.2% foliar spray,Reduced pathogen infection and improved spray retention,MEDIUM,All crops
SEED_TREATMENT,,L-tryptophan,L-Tryptophan,Amino acid,Auxin precursor,Soak seeds in 50 ppm solution,Enhanced root initiation and lateral roots,MEDIUM,"Lettuce, tomato"
FOLIAR_APPLICATION,,HOCl,Hypochlorous acid,Oxidant,Defense elicitor,Apply 100 ppm foliar spray,Upregulated PR genes and pathogen resistance,MEDIUM,"Grapevine, Arabidopsis"
SEED_TREATMENT,,Sodium hypochlorite,Sodium hypochlorite,Oxidant,Seed sanitizer,Soak seeds in 100 ppm solution,Reduced seedborne pathogens and improved vigor,MEDIUM,"Cucumber, lettuce"
FOLIAR_APPLICATION,Nano-stimulation,"Metal nanoparticles (ZnO, FeO, CuO, Se, TiO2, Ag, CeO2)",Nanoparticles,Metal / metal-oxide nanoparticles,"Nano-priming, ROS signaling, micronutrient delivery",Foliar spray or seed treatment (low ppm),"Enhanced germination, growth and stress tolerance via nano-scale delivery",MEDIUM,"Cereals, vegetables, fruit crops"
FRUIT_MANAGEMENT,Anti-aging,Grape seed extract,Proanthocyanidins,Polyphenol,Antioxidant,Fruit injection 0.2-0.4% m/v,"Delayed ripening, increased sucrose content — fruits were injected with 1 mL PAs (0.2% and 0.4% m/v) at the fruit top using a syringe — Although 0.4% PA increased ABA levels, the overall ripening was delayed, not accelerated. increases sucrose content",MEDIUM,"Strawberry, fruits"
FRUIT_MANAGEMENT,Ripening delay,5-Azacytidine,5-Azacytidine (AZA),Nucleoside analog,DNA demethylation,Spray fruit 0.5-20 mM,"Decreased ABA, increased auxins/gibberellins, delayed ripening — DNA demethylating agent — spraying strawberry fruits with 20µmM — Decreased levels of abscisic acid (ABA), the ripening-promoting hormone. Increased levels of auxins and gibberellins, which inhibit ripening.",MEDIUM,"Strawberry, fruits"
GROWTH_REGULATION,Vegetative growth,GA3,Gibberellic Acid,Gibberellin,Cell elongation / flowering,Apply 25-200 ppm foliar,"Promoted vegetative growth and runner production; 100 mg/L best for vegetative results — 200 mg/L GA3 + long photoperiod: Increased flower abortion and malformed fruits, leading to reduced marketable yield. photoperiod and temperature—plays a critical role in modulating GA3 effects. — 30ppm + 10ppm CPPU — 25-40-60-75-100-200ppm, Sterile solutions of 0.5 mM GA3 in 0.053 M citric buffer, 0.094 M Na2PO4H adjusted to pH 4.5, containing 2% DMSO were applied to whole fruit with cotton swabs — sprayed three times in 30 days intervals, 15 days interval 30 and 60 days after planting. 100 mg/L produced the best vegetative results: — most effective treatment was 1.0 mM GA3 applied once a week for one week, during the third week after transplanting yielding nearly 13 runners per plant. once a week was more effective than twice-a-week",MEDIUM,"Strawberry, fruit crops"
FRUIT_MANAGEMENT,Ripening promotion,ABA + Sucrose,Abscisic Acid + Sucrose,Plant hormone + disaccharide,Ripening signaling + energy supply,"Spray fruit at white stage (95 µM ABA, 100 mM sucrose)","Shortened fruit development and ripening time; quality parameters unaffected — fruits sprayed at white stage with 95 µM ABA, 100 mM sucrose — the time frame of fruit development and ripening was shortened, but most of the major quality parameters in treated-ripe fruit were not affected",MEDIUM,"Strawberry, fruits"
FRUIT_MANAGEMENT,Ripening promotion,3-Bromopyruvate,3-Bromopyruvate (3-BrPA),Halogenated pyruvate,Glycolysis inhibitor,Spray fruit 5 mM,Accelerated ripening — fruits sprayed 5 mM — faster ripening,LOW,"Strawberry, fruits"
FRUIT_MANAGEMENT,Ripening promotion,Iodoacetamide,Iodoacetamide (IAM),Alkylating agent,Metabolic inhibitor,Spray fruit 5 mM,Accelerated ripening — fruits sprayed 5 mM — faster ripening,LOW,"Strawberry, fruits"
FRUIT_MANAGEMENT,Auxin inhibition,PCIB,p-Chlorophenoxyisobutyric acid,Aryloxy acid,Auxin antagonist,100 µg in 40 µL ethanol,Accelerated strawberry fruit coloration — 100 µg in 40 µl of ethanol — accelerates strawberry fruit coloration,LOW,"Strawberry, fruits"
FRUIT_MANAGEMENT,Ripening delay,GSH,Reduced glutathione,Tripeptide,Redox regulator,Fruit injection 0.5 mL of 100 mM,"Delayed ripening via reduced H2O2 — fruits at the de-greening stage (DG, 18 days after anthesis) were injected with 0.5 mL 100 mM GSH solution until drip ping — lower endogenous H2O2 levels caused by reduced glutathione (GSH) treatment resulted in a transient increase in glycolysis while delaying strawberry fruit ripening.",MEDIUM,"Strawberry, fruits"
FRUIT_MANAGEMENT,Ripening & shelf-life,MeJA (Methyl Jasmonate),Methyl Jasmonate (MeJA),Jasmonate,Jasmonate signaling,Fruit spray 230 µM,Prolonged strawberry shelf life; promotes maturation and stress tolerance — 230 µM — shelf life of strawberries harvested after MeJA treatment is prolonged,MEDIUM,"Strawberry, fruits"
FRUIT_MANAGEMENT,Ripening promotion,Ethephon,Ethephon,Ethylene releaser,Ethylene precursor,Fruit dip 7 mmol/L or 25-50 ppm,"Enhanced fruit set, weight and ripening — whole fruit were dipped for 5 min in a solution of 7 mmol L-1 ethephon (Ethrel®, 240 g L-1 a.i., 2-chloroethylphosphonic acid, which is metabolized by the plant into ethylene), 0.2 ml L-1 Tween 20® and 10 ml L-1 ethanol (both used as surfactants) 25 or 50 ppm in guava enhanced fruit set percentage, weight, quality of fruit — Green fruit treated with Ethephon had 16% and 13.5% greater mass and 5.4% and 4.0% larger diameter promote natural strawberry fruit red-coloring and softening and partially rescue anthocyanin biosynthesis in the two-type RNAi fruit, but the firmness was not markedly affected.",HIGH,"Guava, strawberry, fruits"
GROWTH_REGULATION,BR inhibitor,Brassinazole,Brassinazole (BZ),Triazole,Brassinosteroid biosynthesis inhibitor,Foliar treatment,Delayed fruit ripening (up to 7 days),LOW,"Strawberry, fruits"
FRUIT_MANAGEMENT,BR modulation,Epibrassinolide (BL),Epibrassinolide (BL),Brassinosteroid,Brassinosteroid signaling,Fruit treatment,BL/BZ promoted ripening up to 5 days ahead or delayed it by 7 days vs control — BL or BZ could promote or inhibit strawberry fruit ripening ahead of 5 days or delay of 7 days compared with the control,LOW,"Strawberry, fruits"
